2th_deg;intensity
0.0009891614;0.4369994
0.002967484;0.8758976
0.004945807;0.9832549
0.00692413;1.293479
0.008902452;1.182787
0.01088077;1.07547
0.0128591;0.9726993
0.01483742;0.9802923
0.01681574;1.002279
0.01879407;1.169102
0.02077239;1.44961
0.02275071;1.493609
0.02472903;1.35881
0.02670736;1.181691
0.02868568;1.189154
0.030664;1.179898
0.03264232;1.226208
0.03462065;1.288549
0.03659897;1.279948
0.03857729;1.284306
0.04055562;1.455011
0.04253394;1.389406
0.04451226;1.249241
0.04649058;1.109694
0.04846891;1.321257
0.05044723;1.241949
0.05242555;1.07062
0.05440387;0.961485
0.0563822;1.016687
0.05836052;1.044981
0.06033884;1.026364
0.06231717;1.002184
0.06429549;1.016958
0.06627381;1.030288
0.06825213;1.135223
0.07023046;1.183255
0.07220878;1.257072
0.0741871;1.250647
0.07616542;1.196986
0.07814375;1.153204
0.08012207;1.156897
0.08210039;1.038558
0.08407872;1.095669
0.08605704;1.142922
0.08803536;1.110809
0.09001368;1.078745
0.09199201;1.244452
0.09397033;1.2608
0.09594865;1.23349
0.09792697;1.039134
0.0999053;1.017771
0.1018836;0.9885114
0.1038619;1.032533
0.1058403;0.9626358
0.1078186;1.000288
0.1097969;0.9374486
0.1117752;0.8960639
0.1137536;0.9552638
0.1157319;1.108377
0.1177102;1.11912
0.1196885;1.076481
0.1216668;1.053653
0.1236452;0.9860871
0.1256235;1.014941
0.1276018;1.087757
0.1295801;1.136922
0.1315585;1.133374
0.1335368;1.171112
0.1355151;1.213921
0.1374934;1.228186
0.1394718;1.210819
0.1414501;1.13498
0.1434284;1.112685
0.1454067;1.137863
0.147385;1.171685
0.1493634;1.144069
0.1513417;1.123472
0.15332;1.075434
0.1552983;1.105727
0.1572767;1.108006
0.159255;1.173596
0.1612333;1.223604
0.1632116;1.291581
0.1651899;1.22483
0.1671683;1.109798
0.1691466;1.103234
0.1711249;1.08921
0.1731032;1.074473
0.1750816;1.063958
0.1770599;1.092734
0.1790382;1.193289
0.1810165;1.220427
0.1829949;1.172884
0.1849732;1.192366
0.1869515;1.206073
0.1889298;1.18576
0.1909081;1.137721
0.1928865;1.081619
0.1948648;1.061206
0.1968431;1.057855
0.1988214;1.086751
0.2007998;1.081497
0.2027781;1.098975
0.2047564;1.104966
0.2067347;1.026373
0.208713;0.9978339
0.2106914;1.111172
0.2126697;1.120942
0.214648;1.055455
0.2166263;1.089171
0.2186047;1.155735
0.220583;1.233716
0.2225613;1.23301
0.2245396;1.254739
0.226518;1.280986
0.2284963;1.411783
0.2304746;1.474116
0.2324529;1.446093
0.2344312;1.383086
0.2364096;1.398497
0.2383879;1.499409
0.2403662;1.634569
0.2423445;1.705049
0.2443229;1.760167
0.2463012;1.84353
0.2482795;1.890987
0.2502578;1.912541
0.2522361;1.884374
0.2542145;1.934196
0.2561928;1.962241
0.2581711;2.079548
0.2601494;2.145946
0.2621278;2.151148
0.2641061;2.132052
0.2660844;2.115641
0.2680627;2.217768
0.2700411;2.322182
0.2720194;2.345838
0.2739977;2.354816
0.275976;2.37708
0.2779543;2.412086
0.2799327;2.451754
0.281911;2.537954
0.2838893;2.512497
0.2858676;2.458089
0.287846;2.449451
0.2898243;2.515388
0.2918026;2.648902
0.2937809;2.627489
0.2957592;2.645127
0.2977376;2.6292
0.2997159;2.706226
0.3016942;2.703887
0.3036725;2.742835
0.3056509;2.766924
0.3076292;2.80196
0.3096075;2.886703
0.3115858;3.037314
0.3135642;3.088979
0.3155425;3.061644
0.3175208;3.117697
0.3194991;3.085877
0.3214774;2.977813
0.3234558;2.942414
0.3254341;3.042758
0.3274124;3.144187
0.3293907;3.241975
0.3313691;3.425204
0.3333474;3.504075
0.3353257;3.547742
0.337304;3.576067
0.3392823;3.68591
0.3412607;3.802685
0.343239;4.003692
0.3452173;4.288527
0.3471956;4.525896
0.349174;4.780956
0.3511523;5.073294
0.3531306;5.378885
0.3551089;5.639145
0.3570873;5.787632
0.3590656;6.14643
0.3610439;6.547993
0.3630222;6.729784
0.3650005;6.692343
0.3669789;6.615427
0.3689572;6.679309
0.3709355;6.720244
0.3729138;6.815402
0.3748922;6.774464
0.3768705;6.826848
0.3788488;6.832862
0.3808271;6.920348
0.3828054;6.865584
0.3847838;6.768577
0.3867621;6.913221
0.3887404;7.141852
0.3907187;7.167588
0.3926971;7.091087
0.3946754;7.093805
0.3966537;7.067404
0.398632;7.048501
0.4006104;7.129773
0.4025887;7.204728
0.404567;7.269684
0.4065453;7.45981
0.4085236;7.505149
0.410502;7.601284
0.4124803;7.775854
0.4144586;7.883573
0.4164369;7.816266
0.4184153;7.852119
0.4203936;7.849992
0.4223719;8.060941
0.4243502;8.125539
0.4263285;8.194379
0.4283069;8.053745
0.4302852;8.005898
0.4322635;8.051187
0.4342418;8.128831
0.4362202;8.233353
0.4381985;8.431994
0.4401768;8.46332
0.4421551;8.426985
0.4441335;8.256136
0.4461118;8.307857
0.4480901;8.433946
0.4500684;8.494122
0.4520467;8.495122
0.4540251;8.42587
0.4560034;8.378823
0.4579817;8.35094
0.45996;8.356411
0.4619384;8.414455
0.4639167;8.3626
0.465895;8.449139
0.4678733;8.52569
0.4698516;8.65132
0.47183;8.743238
0.4738083;8.793621
0.4757866;8.727297
0.4777649;8.669173
0.4797433;8.774425
0.4817216;8.841461
0.4836999;8.832851
0.4856782;8.787978
0.4876566;8.69905
0.4896349;8.667296
0.4916132;8.784497
0.4935915;8.892575
0.4955698;8.917183
0.4975482;8.982723
0.4995265;8.95268
0.5015048;8.964293
0.5034831;8.978746
0.5054615;9.159575
0.5074398;9.229544
0.5094181;9.201138
0.5113964;9.086339
0.5133747;8.969117
0.5153531;9.195432
0.5173314;9.34164
0.5193097;9.310727
0.521288;9.214827
0.5232664;9.204874
0.5252447;9.184291
0.527223;9.07906
0.5292013;9.233483
0.5311797;9.400455
0.533158;9.450565
0.5351363;9.415422
0.5371146;9.388532
0.5390929;9.382245
0.5410713;9.437482
0.5430496;9.506682
0.5450279;9.586213
0.5470062;9.563643
0.5489846;9.544861
0.5509629;9.530706
0.5529412;9.671702
0.5549195;9.734803
0.5568978;9.651886
0.5588762;9.57186
0.5608545;9.711284
0.5628328;9.878066
0.5648111;9.915527
0.5667895;9.760107
0.5687678;9.583751
0.5707461;9.692867
0.5727244;9.787828
0.5747028;9.84592
0.5766811;9.887177
0.5786594;9.941492
0.5806377;10.00602
0.582616;9.956575
0.5845944;10.05753
0.5865727;10.12471
0.588551;10.10471
0.5905293;10.08732
0.5925077;9.997053
0.594486;10.00074
0.5964643;10.09293
0.5984426;10.10381
0.6004209;10.11613
0.6023993;10.09437
0.6043776;10.21288
0.6063559;10.19864
0.6083342;10.11017
0.6103126;10.04165
0.6122909;10.12703
0.6142692;10.27665
0.6162475;10.27912
0.6182259;10.2135
0.6202042;10.19428
0.6221825;10.22635
0.6241608;10.27035
0.6261391;10.34995
0.6281175;10.42035
0.6300958;10.42588
0.6320741;10.43542
0.6340524;10.3533
0.6360308;10.38741
0.6380091;10.44914
0.6399874;10.51609
0.6419657;10.6522
0.643944;10.77549
0.6459224;10.77464
0.6479007;10.70855
0.649879;10.62694
0.6518573;10.70193
0.6538357;10.69676
0.655814;10.68976
0.6577923;10.59653
0.6597706;10.75201
0.661749;10.84205
0.6637273;10.85493
0.6657056;10.8063
0.6676839;10.78596
0.6696622;10.78764
0.6716406;10.88706
0.6736189;10.89451
0.6755972;10.86469
0.6775755;10.91455
0.6795539;10.92169
0.6815322;10.99207
0.6835105;11.12629
0.6854888;11.20662
0.6874671;11.22296
0.6894455;11.17887
0.6914238;11.16496
0.6934021;11.20497
0.6953804;11.15782
0.6973588;11.21588
0.6993371;11.23147
0.7013154;11.33904
0.7032937;11.33305
0.7052721;11.37015
0.7072504;11.39409
0.7092287;11.50347
0.711207;11.46501
0.7131853;11.36426
0.7151637;11.36194
0.717142;11.43537
0.7191203;11.59486
0.7210986;11.66706
0.723077;11.61541
0.7250553;11.48263
0.7270336;11.56857
0.7290119;11.79664
0.7309902;11.90658
0.7329686;11.90081
0.7349469;11.75056
0.7369252;11.72939
0.7389035;11.78799
0.7408819;11.95497
0.7428602;12.04973
0.7448385;12.07834
0.7468168;11.96417
0.7487951;11.94662
0.7507735;12.00308
0.7527518;12.07679
0.7547301;12.19949
0.7567084;12.24897
0.7586868;12.19897
0.7606651;12.22479
0.7626434;12.15118
0.7646217;12.24805
0.7666001;12.26498
0.7685784;12.27851
0.7705567;12.28988
0.772535;12.3275
0.7745133;12.37286
0.7764917;12.36259
0.77847;12.41377
0.7804483;12.57725
0.7824266;12.63324
0.784405;12.62439
0.7863833;12.55141
0.7883616;12.57634
0.7903399;12.63759
0.7923182;12.80882
0.7942966;12.91546
0.7962749;13.02093
0.7982532;12.9948
0.8002315;12.97894
0.8022099;12.90579
0.8041882;12.98388
0.8061665;13.0558
0.8081448;13.09221
0.8101232;13.08933
0.8121015;13.10148
0.8140798;13.18661
0.8160581;13.29898
0.8180364;13.39257
0.8200148;13.35799
0.8219931;13.39914
0.8239714;13.41087
0.8259497;13.43523
0.8279281;13.33219
0.8299064;13.29463
0.8318847;13.43242
0.833863;13.64258
0.8358413;13.68819
0.8378197;13.73026
0.839798;13.75504
0.8417763;13.7753
0.8437546;13.81457
0.845733;13.82217
0.8477113;13.80395
0.8496896;13.90173
0.8516679;13.98322
0.8536463;13.97689
0.8556246;13.89219
0.8576029;13.91738
0.8595812;13.93256
0.8615595;13.85344
0.8635379;13.77932
0.8655162;13.90319
0.8674945;14.06106
0.8694728;14.08418
0.8714512;14.11795
0.8734295;14.07423
0.8754078;14.11661
0.8773861;14.22782
0.8793644;14.38546
0.8813428;14.40694
0.8833211;14.2817
0.8852994;14.32712
0.8872777;14.47892
0.8892561;14.57392
0.8912344;14.51819
0.8932127;14.52651
0.895191;14.56404
0.8971694;14.68683
0.8991477;14.64686
0.901126;14.66082
0.9031043;14.63519
0.9050826;14.65134
0.907061;14.72575
0.9090393;14.87292
0.9110176;14.94833
0.9129959;14.9511
0.9149743;14.94943
0.9169526;14.90413
0.9189309;14.91174
0.9209092;15.01536
0.9228875;15.13485
0.9248659;15.31344
0.9268442;15.36954
0.9288225;15.29908
0.9308008;15.34524
0.9327792;15.49208
0.9347575;15.48173
0.9367358;15.43135
0.9387141;15.46513
0.9406925;15.52828
0.9426708;15.47067
0.9446491;15.52467
0.9466274;15.57891
0.9486057;15.59832
0.9505841;15.66603
0.9525624;15.7403
0.9545407;15.81334
0.956519;15.81792
0.9584974;15.76147
0.9604757;15.89336
0.962454;16.02215
0.9644323;16.00873
0.9664106;15.95238
0.968389;16.05119
0.9703673;16.12872
0.9723456;16.17441
0.9743239;16.11692
0.9763023;16.07639
0.9782806;16.09145
0.9802589;16.10643
0.9822372;16.18694
0.9842156;16.28601
0.9861939;16.30541
0.9881722;16.38634
0.9901505;16.30016
0.9921288;16.3724
0.9941072;16.5434
0.9960855;16.65088
0.9980638;16.58566
1.000042;16.4643
1.00202;16.40887
1.003999;16.37966
1.005977;16.50056
1.007955;16.66775
1.009934;16.61897
1.011912;16.62603
1.01389;16.7172
1.015869;16.77138
1.017847;16.82909
1.019825;16.88648
1.021804;16.84388
1.023782;16.91066
1.02576;16.94419
1.027739;16.8767
1.029717;16.77262
1.031695;16.7539
1.033674;16.84583
1.035652;17.02315
1.03763;17.23803
1.039609;17.4259
1.041587;17.33776
1.043565;17.1706
1.045544;17.19278
1.047522;17.40122
